"","rank","title","authors","affiliations","pubtitle","punumber","py","volume","issue","part","spage","epage","arnumber","abstract","doi","mdurl","pdf","pubtype","publisher","isbn","issn","publicationId","thesaurusterms","controlledterms","uncontrolledterms","htmlFlag"
"1","1","Hybrid-Type Temperature Sensor Using Thin-Film Transistors","Kimura, M.;  Kojima, K.;  Mukuda, T.;  Kito, K.;  Hayashi, H.;  Matsuda, T.;  Hiroshima, Y.;  Miyasaka, M.","Dept. of Electron. & Inf., Ryukoku Univ., Otsu, Japan","Electron Devices Society, IEEE Journal of the","6245494","2014","2","6","","182","186","6883115","We have developed a hybrid-type temperature sensor using thin-film transistors. First, we evaluate temperature dependences of transistor characteristics and find that the temperature dependence of the off-leakage current is much larger than that of the on current. Next, we combine a transistor, capacitor, and ring oscillator to develop the hybrid-type temperature sensor and detect the temperature by measuring the oscillation frequency. The large temperature dependences of the off-leakage currents can be utilized, and simultaneously only a digital circuit is required to count the digital pulse.","10.1109/JEDS.2014.2352218","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6883115&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883115","Journals & Magazines","IEEE","","2168-6734","6883115","Ring oscillators|Temperature dependence|Temperature measurement|Temperature sensors|Thin film transistors","leakage currents|oscillators|temperature sensors|thin film transistors","","1"
"2","2","Neural Implementation of Shape-Invariant Touch Counter Based on Euler Calculus","Miura, K.;  Nakada, K.","Grad. Sch. of Inf. Sci., Tohoku Univ., Sendai, Japan","Access, IEEE","6287639","2014","2","","","960","970","6883116","One of the goals of neuromorphic engineering is to imitate the brain's ability to recognize and count the number of individual objects as entities based on the global consistency of the information from the population of activated tactile (or visual) sensory neurons whatever the objects' shapes are. To achieve this flexibility, it may be worth examining an unconventional algorithm such as topological methods. Here, we propose a fully parallelized algorithm for a shape-invariant touch counter for 2-D pixels. The number of touches is counted by the Euler integral, a generalized integral, in which a connected component counter (Betti number) for the binary image was used as elemental module. Through examples of touches, we demonstrate transparently how the proposed circuit architecture embodies the Euler integral in the form of recurrent neural networks for iterative vector operations. Our parallelization can lead the way to Field-Programmable Gate Array or Digital Signal Processor implementations of topological algorithms with scalability to high resolutions of pixels.","10.1109/ACCESS.2014.2351832","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6883116&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883116","Journals & Magazines","IEEE","","2169-3536","6883116","Algorithm design and analysis|Brain modeling|Calculus|Neuromorphic engineering|Object detection|Radiation detectors|Shape analysis|Sociology|Visualization","brain|calculus|field programmable gate arrays|integral equations|medical image processing|neurophysiology|parallel algorithms|touch sensitive screens","","1"
"3","3","Monolithically Integrated Optical Phase Lock Loop for Microwave Photonics","Balakier, K.;  Fice, M.J.;  Ponnampalam, L.;  Seeds, A.J.;  Renaud, C.C.","Dept. of Electron. & Electr. Eng., Univ. Coll. London, London, UK","Lightwave Technology, Journal of","50","2014","32","20","","3893","3900","6800012","We present a review of the critical design aspects of monolithically integrated optical phase lock loops (OPLLs). OPLL design procedures and OPLL parameters are discussed. A technique to evaluate the gain of the closed loop operating system is introduced and experimentally validated for the first time. A dual-OPLL system, when synchronised to an optical frequency comb generator without any prior filtering of the comb lines, allows generation of high spectral purity signals at any desired frequency from several GHz up to THz range. Heterodyne phase locking was achieved at a continuously tuneable offset frequency between 2 and 6 GHz. Thanks to the photonic integration, small dimensions, and custom-made electronics, the propagation delay in the loop was less than 1.8 ns, allowing good phase noise performance with OPLLs based on lasers with linewidths less than a few MHz. The system demonstrates the potential for photonic integration to be applied in various microwave photonics applications where narrow-bandwidth tuneable optical filters with amplification functionality are required.","10.1109/JLT.2014.2317941","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6800012&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800012","Journals & Magazines","IEEE","","0733-8724","6800012","Laser feedback|Laser tuning|Measurement by laser beam|Optical filters|Optical mixing|Photonics","closed loop systems|heterodyne detection|integrated optoelectronics|laser mode locking|laser noise|microwave generation|microwave photonics|optical delay lines|optical design techniques|optical phase locked loops|phase noise|reviews|semiconductor lasers","","1"
"4","4","A Survey on Internet of Things From Industrial Market Perspective","Perera, C.;  Liu, C.H.;  Jayawardena, S.;  Min Chen","Res. Sch. of Comput. Sci., Australian Nat. Univ., Canberra, ACT, Australia","Access, IEEE","6287639","2014","2","","","1660","1679","7004894","The Internet of Things (IoT) is a dynamic global information network consisting of Internet-connected objects, such as radio frequency identifications, sensors, and actuators, as well as other instruments and smart appliances that are becoming an integral component of the Internet. Over the last few years, we have seen a plethora of IoT solutions making their way into the industry marketplace. Context-aware communications and computing have played a critical role throughout the last few years of ubiquitous computing and are expected to play a significant role in the IoT paradigm as well. In this paper, we examine a variety of popular and innovative IoT solutions in terms of context-aware technology perspectives. More importantly, we evaluate these IoT solutions using a framework that we built around well-known context-aware computing theories. This survey is intended to serve as a guideline and a conceptual framework for context-aware product development and research in the IoT paradigm. It also provides a systematic exploration of existing IoT products in the marketplace and highlights a number of potentially significant research directions and trends.","10.1109/ACCESS.2015.2389854","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=7004894&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004894","Journals & Magazines","IEEE","","2169-3536","7004894","Context awareness|Futures research|Globalization|Information networks|Interconnections|Internet|Internet of things|Market research|Product development","Internet of Things|industrial economics|product development|production engineering computing","","1"
"5","5","Coherent Versus Non-Coherent Reconfigurable Antenna Aided Virtual MIMO Systems","Sugiura, S.","Dept. of Comput. & Inf. Sci., Tokyo Univ. of Agric. & Technol., Koganei, Japan","Signal Processing Letters, IEEE","97","2014","21","4","","390","394","6728666","In this letter, motivated by the recent universal encoding concept of space-time shift keying (STSK), we propose a novel single radio-frequency (RF) based virtual multiple-input multiple-output (VMIMO) architecture, employing a pattern reconfigurable antenna at a transmitter. More specifically, the proposed scheme is based on the concept of pattern-time dispersion matrix activation, which is capable of striking a flexible balance between the transmission rate and the diversity gain, while enabling symbol-based low-complexity detection. Furthermore, we conceive its non-coherently detected counterpart in order to dispense with any channel estimation as well as additional pilot overhead, hence having the potential of outperforming the conventional coherently-detected VMIMO schemes in many practical scenarios.","10.1109/LSP.2014.2303471","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6728666&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6728666","Journals & Magazines","IEEE","","1070-9908","6728666","Antenna arrays|Dispersion|MIMO|Receivers|Transmitting antennas","MIMO communication|antenna arrays|channel estimation|radio transmitters|signal detection","","1"
"6","6","Artificial Graphene and Related Photonic Lattices Generated With a Simple Method","Yuanmei Gao;  Daohong Song;  Shanshan Chu;  Zhigang Chen","Coll. of Phys. & Electron., Shandong Normal Univ., Jinan, China","Photonics Journal, IEEE","4563994","2014","6","6","","1","6","6923444","We fabricate honeycomb and related photonic lattices in a nonlinear crystal with a simple method that is based on the optical Fourier transformation through an amplitude mask (six-hole aperture) superimposed with a phase mask (three tilted glass plates). Compared with using the spatial light modulator, our method is cost-effective and easy to control for almost every one. Numerically, we use the transmittance function to describe the amplitude mask instead of treating each hole as a simple point source and give out the field distribution function of the honeycomb lattice beam. Experimentally, the induced lattice structure is examined by the Brillouin zone spectroscopy and the far-field diffraction pattern, as well as by monitoring the linear and nonlinear propagation of a probe beam. In addition to the honeycomb, vortex, and Kagome lattices, we illustrate the phase conditions for optical induction of molybdenum disulfide-like photonic lattices for the first time. Our approach can be easily extended to generate more complex microstructures by designing the amplitude and phase mask properly, promising a convenient way to establish a photonic platform for various applications.","10.1109/JPHOT.2014.2363436","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6923444&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6923444","Journals & Magazines","IEEE","","1943-0655","6923444","Glass|Lattices|Lenses|Nonlinear optics|Optical diffraction|Optical vortices|Photonics","Brillouin spectra|Fourier transform optics|graphene|molybdenum compounds|optical fabrication|optical lattices|optical vortices|photorefractive materials","","1"
"7","7","A Sensitivity-Analysis-Based Approach for the Calibration of Traffic Simulation Models","Ciuffo, B.;  Lima Azevedo, C.","Inst. for Energy & Transp., Eur. Comm., Ispra, Italy","Intelligent Transportation Systems, IEEE Transactions on","6979","2014","15","3","","1298","1309","6757042","In this paper, a multistep sensitivity analysis (SA) approach for model calibration is proposed and applied to a complex traffic simulation model with more than 100 parameters. Throughout this paper, it is argued that the application of SA is crucial for true comprehension and the correct use of traffic simulation models, but it is also acknowledged that the main obstacle toward an extensive use of the most sophisticated techniques is the high number of model runs usually required. For this reason, we have tested the possibility of performing a multistep SA, where, at each step, model parameters are grouped on the basis of possible common features, and a final SA on the parameters pertaining to the most influential groups is then performed. The proposed methodology was applied to an urban motorway case study simulated using MITSIMLab, a complex microscopic traffic simulator. The method allowed the analysis of the role played by all parameters and by the model stochasticity itself, with 80% fewer model evaluations than the standard variance-based approach. Ten model parameters accounted for a big share in the output variance for the specific case study. A Kriging metamodel was then estimated and integrated with the multistep SA results for a global calibration framework in the presence of uncertainty. Results confirm the great potential of this approach and open up to a novel view for the calibration of a traffic simulation model.","10.1109/TITS.2014.2302674","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6757042&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6757042","Journals & Magazines","IEEE","","1524-9050","6757042","Analytical models|Calibration|Computational modeling|Data models|Indexes|Mathematical model|Sensitivity","calibration|road traffic|sensitivity analysis|transportation","","1"
"8","8","Novel UWB and Spread Spectrum System Using Time Compression and Overlap-Add Techniques","Harrison, S.;  Driessen, P.F.","Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada","Access, IEEE","6287639","2014","2","","","1092","1105","6897912","We present a UWB and spread spectrum communications method based on the idea of time compression where a sampled message signal is transmitted at a higher sampling rate. Robustness is achieved by dividing the signal into overlapping segments, transmitting each segment fast enough so that the segments no longer overlap, receiving these segments and reconstructing the message by overlap-adding the segments. A key feature of this scheme is that an exact sample rate match is not required to recover the signal. This method is implemented in a custom wideband software defined radio, with good results in the presence of interference and multipath. This method, referred to as time compression overlap-add (TC-OLA), represents a new concept and design approach and an advance in fundamental technology of the air interface physical layer that may be relevant to 5G wireless technologies.","10.1109/ACCESS.2014.2357422","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6897912&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6897912","Journals & Magazines","IEEE","","2169-3536","6897912","Communication channels|Physical layer|Software radio|Spread spectrum communication|Ultra wideband communication|Wireless communication","","","1"
"9","9","Experimental Procedure for Determination of the Dielectric Properties of Biological Samples in the 2-50 GHz Range","Odelstad, E.;  Raman, S.;  Rydberg, A.;  Augustine, R.","Dept. of Phys. & Astron., Uppsala Univ., Uppsala, Sweden","Translational Engineering in Health and Medicine, IEEE Journal of","6221039","2014","2","","","1","8","6862841","The objective of this paper was to test and evaluate an experimental procedure for providing data on the complex permittivity of different cell lines in the 2-50-GHz range at room temperature, for the purpose of future dosimetric studies. The complex permittivity measurements were performed on cells suspended in culture medium using an open-ended coaxial probe. Maxwell's mixture equation then allows the calculation of the permittivity profiles of the cells from the difference in permittivity between the cell suspensions and pure culture medium. The open-ended coaxial probe turned out to be very sensitive to disturbances affecting the measurements, resulting in poor precision. Permittivity differences were not large in relation to the spread of the measurements and repeated measurements were performed to improve statistics. The 95% confidence intervals were computed for the arithmetic means of the measured permittivity differences in order to test the statistical significance. The results showed that for bone cells at the lowest tested concentration (33 500/ml), there were significance in the real part of the permittivity at frequencies above 30 GHz, and no significance in the imaginary part. For the second lowest concentration (67 000/ml) there was no significance at all. For a medium concentration of bone cells (135 000/ml) there was no significance in the real part, but there was significance in the imaginary part at frequencies below about 25 GHz. The cell suspension with a concentration of 1 350 000/ml had significance in the real part for both high (above 30 GHz) and low (below 15 GHz) frequencies. The imaginary part showed significance for frequencies below 25 GHz. In the case of an osteosarcoma cell line with a concentration of 2 700 000/ml, only the imaginary part showed significance, and only for frequencies below 15 GHz. For muscle cells at a concentration of 743 450/ml, there was only significance in the imaginary part for frequencies below 5 GHz. The e- perimental data indicated that the complex permittivity of the culture medium may be used for modeling of cell suspensions.","10.1109/JTEHM.2014.2340412","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6862841&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6862841","Journals & Magazines","IEEE","","2168-2372","6862841","Dielectrics|Mathematical model|Permittivity|Permittivity measurement|Probes|Solids|Suspensions","Maxwell equations|bioelectric potentials|biomedical measurement|bone|cancer|cellular biophysics|high-frequency effects|muscle|permittivity|statistical analysis|suspensions","","1"
"10","10","A Low-Wear Onload Tap Changer Diverter Switch for Frequent Voltage Control on Distribution Networks","Rogers, D.J.;  Green, T.C.;  Silversides, R.W.","Sch. of Eng., Cardiff Univ., Cardiff, UK","Power Delivery, IEEE Transactions on","61","2014","29","2","","860","869","6573413","This paper presents a fast mechanical diverter switch design suitable for new &#x201C;arcless&#x201D; hybrid onload tap-changing systems. In such systems, arcing at contact separation and contact closure is almost completely eliminated by the inclusion of alternate current paths incorporating semiconductor devices. This allows the use of compact, air-insulated mechanical contacts that do not need to withstand significant arc erosion or provide arc quenching. As a result, the moving mass and the drive system for the switch may be dramatically reduced in size, leading to low inertia of the moving parts and resulting in very rapid operation times. An integrated, high-torque, low-mass permanent-magnet actuator is presented that provides detent (unpowered) contact force coupled with a cantilever spring contact system sized for an 11-kV 2-MVA onload tap changer. The design delivers operation times of under 20 ms and is capable of sustaining more than 10<sup>6</sup> operations. The complete design is experimentally verified under representative electrical conditions, and contact wear levels comparable to pure mechanical (zero current) operation are demonstrated.","10.1109/TPWRD.2013.2272335","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6573413&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6573413","Journals & Magazines","IEEE","","0885-8977","6573413","Coils|Contacts|Force|Magnetic separation|Springs|Switches|Torque","actuators|air insulation|arcs (electric)|cantilevers|divertors|electric drives|electrical contacts|mechanical contact|on load tap changers|permanent magnets|power distribution control|power semiconductor switches|springs (mechanical)|voltage control","","1"
