"","x"
"medical image processing",59
"learning (artificial intelligence)",42
"silicon",42
"elemental semiconductors",40
"optimisation",40
"III-V semiconductors",35
"optical modulation",34
"nanophotonics",33
"statistical analysis",33
"optical waveguides",32
"microwave photonics",31
"integrated optics",30
"photonic crystals",30
"fibre optic sensors",28
"optical design techniques",28
"indium compounds",27
"optical fibre communication",27
"feature extraction",26
"computational complexity",25
"gallium compounds",25
"CMOS integrated circuits",24
"error statistics",23
"optical losses",23
"integrated optoelectronics",22
"iterative methods",22
"photodetectors",22
"probability",22
"wide band gap semiconductors",22
"OFDM modulation",21
"biomedical MRI",21
"diffraction gratings",21
"optical fabrication",21
"semiconductor lasers",21
"Monte Carlo methods",20
"cloud computing",20
"diseases",20
"fibre lasers",20
"image classification",20
"image segmentation",20
"neurophysiology",20
"remote sensing",20
"finite element analysis",19
"image reconstruction",19
"medical disorders",19
"silicon-on-insulator",19
"solar cells",19
"wavelength division multiplexing",19
"brain",18
"cellular radio",18
"laser cavity resonators",18
"light emitting diodes",18
"medical signal processing",18
"optical communication equipment",18
"optical filters",18
"computerised tomography",17
"geophysical image processing",17
"wireless channels",17
"MIMO communication",16
"aluminium compounds",16
"biomedical optical imaging",16
"data acquisition",16
"energy conservation",16
"geophysical techniques",16
"graphene",16
"optical pumping",16
"optical tuning",16
"silicon compounds",16
"Big Data",15
"biomechanics",15
"laser tuning",15
"matrix algebra",15
"mobile computing",15
"reflectivity",15
"MOSFET",14
"biomedical equipment",14
"laser mode locking",14
"optical receivers",14
"regression analysis",14
"relay networks (telecommunication)",14
"Bragg gratings",13
"Internet",13
"Markov processes",13
"cellular biophysics",13
"delays",13
"face recognition",13
"finite difference time-domain analysis",13
"optical polymers",13
"optical pulse generation",13
"pattern classification",13
"pattern clustering",13
"remote sensing by radar",13
"telecommunication traffic",13
"wireless sensor networks",13
"Gaussian processes",12
"calibration",12
"holey fibres",12
"optical fibre polarisation",12
"optical resonators",12
"optical transmitters",12
"signal processing",12
"telecommunication power management",12
"antenna arrays",11
"cancer",11
"graph theory",11
"image resolution",11
"light interference",11
"light polarisation",11
"mean square error methods",11
"minimisation",11
"multiwave mixing",11
"optical switches",11
"patient diagnosis",11
"quadrature amplitude modulation",11
"radiofrequency interference",11
"refractive index",11
"social networking (online)",11
"CMOS image sensors",10
"bioelectric potentials",10
"cooperative communication",10
"evolutionary computation",10
